,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,Busselton,-33.65,115.3333,62.01,83,0,1.01,AU,1612045501
1,Sakaiminato,35.55,133.2333,37.4,93,40,6.91,JP,1612045502
2,Palencia,42.4167,-4.5,39.99,89,27,7.0,ES,1612045499
3,Punta Arenas,-53.15,-70.9167,55.4,58,0,21.85,CL,1612045326
4,Chui,-33.6971,-53.4616,75.52,71,59,14.0,UY,1612045506
5,Svetlaya,46.5389,138.3297,-0.83,82,100,11.97,RU,1612045507
6,Puro,12.4841,123.3827,76.1,79,99,16.06,PH,1612045509
7,Provideniya,64.3833,-173.3,-13.25,83,72,10.29,RU,1612045510
8,San Andrés,12.5847,-81.7006,84.2,65,40,16.11,CO,1612045511
9,Ushuaia,-54.8,-68.3,51.8,62,20,25.32,AR,1612045488
10,Mataura,-46.1927,168.8643,63.32,49,87,1.59,NZ,1612045514
11,Arraial do Cabo,-22.9661,-42.0278,80.6,73,20,18.41,BR,1612045515
12,Barrow,71.2906,-156.7887,-9.4,70,90,9.22,US,1612045517
13,Pahrump,36.2083,-115.9839,53.01,44,29,3.0,US,1612045518
14,Pontalina,-17.525,-49.4472,77.99,68,91,4.32,BR,1612045519
15,East London,-33.0153,27.9116,70.29,80,5,0.85,ZA,1612045521
16,Qaanaaq,77.484,-69.3632,-3.87,73,100,1.21,GL,1612045522
17,Calgary,51.0501,-114.0853,30.2,51,20,6.91,CA,1612045470
18,Jamestown,42.097,-79.2353,24.01,73,40,4.05,US,1612045494
19,Emba,48.8264,58.1442,14.99,92,55,5.5,KZ,1612045526
20,Puerto Escondido,15.85,-97.0667,84.2,70,40,6.91,MX,1612045527
21,Pochutla,15.7432,-96.4661,86.0,58,20,6.89,MX,1612045528
22,George Town,5.4112,100.3354,78.01,83,20,3.44,MY,1612045529
23,Chapais,49.7834,-74.8492,-2.2,71,90,9.22,CA,1612045250
24,Moose Factory,51.2585,-80.6094,-4.0,77,1,6.91,CA,1612045532
25,Rikitea,-23.1203,-134.9692,78.91,76,2,12.57,PF,1612045533
26,Port Elizabeth,-33.918,25.5701,64.4,94,0,6.91,ZA,1612045534
27,Yellowknife,62.456,-114.3525,-11.0,77,75,4.61,CA,1612045535
28,Hermanus,-34.4187,19.2345,66.99,86,3,10.25,ZA,1612045537
29,Anzio,41.4853,12.6179,55.99,82,100,10.0,IT,1612045538
30,Ribeira Grande,38.5167,-28.7,64.4,88,75,18.41,PT,1612045539
31,Smithers,54.7804,-127.1743,19.4,68,90,6.91,CA,1612045417
32,Thompson,55.7435,-97.8558,15.8,86,90,3.44,CA,1612045542
33,Atuona,-9.8,-139.0333,78.4,81,19,17.31,PF,1612045543
34,Butaritari,3.0707,172.7902,81.1,77,80,17.4,KI,1612045545
35,Olden,61.8364,6.8064,30.99,94,100,4.76,NO,1612045546
36,Chokurdakh,70.6333,147.9167,-28.59,86,71,7.65,RU,1612045450
37,Dikson,73.5069,80.5464,-35.68,81,0,7.76,RU,1612045548
38,Kahului,20.8947,-156.47,78.8,61,40,20.71,US,1612045550
39,Byron Bay,-28.65,153.6167,77.0,88,75,3.44,AU,1612045323
40,Sapulpa,35.9987,-96.1142,64.99,36,1,13.8,US,1612045552
41,Andenes,69.3143,16.1194,24.8,63,26,13.8,NO,1612045553
42,Soria,41.6667,-2.6667,39.0,100,91,23.55,ES,1612045555
43,Hofn,64.2539,-15.2082,20.52,86,98,21.18,IS,1612045556
44,Kangaatsiaq,68.3065,-53.4641,9.21,94,96,1.1,GL,1612045557
45,Adré,13.4667,22.2,67.17,23,0,14.61,TD,1612045559
46,Christchurch,-43.5333,172.6333,64.4,63,20,19.57,NZ,1612045540
47,Tuktoyaktuk,69.4541,-133.0374,-34.6,67,40,2.3,CA,1612045561
48,Upernavik,72.7868,-56.1549,-9.53,86,25,7.23,GL,1612045562
49,Cape Town,-33.9258,18.4232,71.01,77,75,1.14,ZA,1612045283
50,Puerto Ayora,-0.7393,-90.3518,84.2,70,0,12.66,EC,1612045565
51,Henties Bay,-22.116,14.2845,66.99,85,8,1.99,NA,1612045566
52,Talnakh,69.4865,88.3972,-31.02,71,0,6.42,RU,1612045567
53,Tambopata,-12.7333,-69.1833,79.88,88,15,3.78,PE,1612045569
54,Santa Rosa,14.3122,121.1114,71.6,78,20,2.3,PH,1612045570
55,Palana,59.1167,159.9667,-2.4,94,100,31.7,RU,1612045571
56,Urucará,-2.5364,-57.76,78.48,91,4,2.3,BR,1612045572
57,Acapulco de Juárez,16.8634,-99.8901,86.0,70,40,10.36,MX,1612045574
58,Cidreira,-30.1811,-50.2056,77.23,88,100,4.63,BR,1612045317
59,Taltal,-25.4,-70.4833,70.97,60,22,5.28,CL,1612045576
60,Toba Tek Singh,30.9743,72.4827,50.77,39,0,4.94,PK,1612045578
61,Hamilton,39.1834,-84.5333,36.0,51,75,6.91,US,1612045579
62,Hong Kong,22.2855,114.1577,62.01,66,14,15.73,HK,1612045348
63,Port Alfred,-33.5906,26.891,67.41,79,38,3.24,ZA,1612045581
64,Port Hardy,50.6996,-127.4199,44.6,81,75,18.41,CA,1612045582
65,Saint Paul Harbor,57.79,-152.4072,33.8,55,1,23.02,US,1612045437
66,Hithadhoo,-0.6,73.0833,81.77,78,69,15.77,MV,1612045585
67,Cabo San Lucas,22.8909,-109.9124,75.2,57,20,11.5,MX,1612045586
68,Castro,-24.7911,-50.0119,66.16,97,100,1.41,BR,1612045587
69,San Cristobal,7.7669,-72.225,82.4,61,40,10.36,VE,1612045589
70,Soyo,-6.1349,12.3689,80.02,85,100,8.79,AO,1612045457
71,Mahébourg,-20.4081,57.7,78.8,89,40,10.74,MU,1612045591
72,Nova Viçosa,-17.8919,-39.3719,77.76,79,0,9.37,BR,1612045592
73,Maceió,-9.6658,-35.7353,77.0,94,40,5.75,BR,1612045382
74,Vaini,-21.2,-175.2,82.4,83,75,6.91,TO,1612045595
75,Koidu,8.4167,-10.8333,75.38,61,32,3.24,SL,1612045596
